State,Group,Index,Content
L2M2,1,6,"John: You welcome, so did you know where I can find the card to the upper stair?"
L2M2,1,7,"Worker: I don’t have that, sorry. But I can tell you something about it. All the key card are in the warehouse, and the warehouse are in the room that contains most of the box.(L2M4)"
L2M2,1,8,"John: Thanks, I will looking for it."
L2M2,2,0,John: What a weirdo…
L2M4,0,0,"John: Hey, I am working on the Business Department and want to deliverd a file to the upper level."
L2M4,0,1,"L2-Leader: You must be the new Asian right? Your math must be very good. HAHA, do me a favor so I will give you the card."
L2M4,0,2,"John: (Read the Title) Mr.George, it is not funny to use stereotype for other person. Especially for someone just met."
L2M4,0,3,"George: Don’t be so serious about that, working should be easy and passion about it. So, did you accept that?"
L2M4,1,0,John: What do you want me to do?
L2M4,1,1,"George: Easy peasy, there are an important file that contains our storage information in the logistics department."
L2M4,1,2,"George: I ask them to send those file to me, but seems they forgot about it. Go there are find the file to me."
L2M4,1,3,John: Sure.
L2M4,2,0,John: I will not helping someone that use otherone's stereotype as a joke. I will find the card by myself.
L2M4,2,1,"George: Whatever you want, KungFu master."
L2M4,3,0,John: Here is the flash drive.
L2M4,3,1,"George: Very well! Your ability is impressive, here is the card!"
L3,0,0,"John: Hey, How do you do bro?"
L3,0,1,"Enemy: Wow, seems our company has a little Asian."
L3,0,2,John: What did you said?
L3,0,3,Enemy: Why your eyes are so small? (Squint his eyes) What are you going to do? Mop this floor?
L3,0,4,"John: Ridiculous, I am leaving. "
L3,0,5,Enemy: What is on your pocket? Did you want to report me? (Reach out)
L3,0,6,John: Don’t touch me!
L3,0,7,"(Your file is been broken, You can have it from the copy machine)"
L3M2,0,0,John: How are you?
L3M2,0,1,Harry: Did I know you before? 
L3M2,0,2,"John: I am sure not. I came from business department, my name is John."
L3M2,0,3,"Harry: Harry, can you do me a favor?"
L3M2,0,4,"Harry: I am trying to use the projector in my meeting, but the projector are not working!"
L3M2,1,0,John: Let me look at it…
L3M2,1,1,John: The software is correct.. Wire is conneted… Power is good…... Wait a second..
L3M2,1,2,"John: You are in the wrong channel, you need to switch to the ""Computer mode"""
L3M2,1,3,"Harry: Oh, that is interesting. Thanks You! "
L3M2,1,4,John: Let me know if you have more question about it.
L3M2,2,0,John: Have you try ture it off and on it again?
L3M2,2,1,Harry: Of course i have...
L3M2,2,2,John: Then I don’t know how to do it!
L3M2,2,3,"Harry: Sure, maybe I need to call someone in tech department…"
